day,conc,count,site,model,const,interval,format
4/20/1993,1.3,1,ID,interp,TSS,daily,conc
4/21/1993,1.3,1,ID,interp,TSS,daily,conc
4/22/1993,1.3,1,ID,interp,TSS,daily,conc
4/23/1993,1.3,1,ID,interp,TSS,daily,conc
4/24/1993,1.3,1,ID,interp,TSS,daily,conc
4/25/1993,1.3,1,ID,interp,TSS,daily,conc
4/26/1993,1.3,1,ID,interp,TSS,daily,conc
4/27/1993,1.3,1,ID,interp,TSS,daily,conc
4/28/1993,1.3,1,ID,interp,TSS,daily,conc
4/29/1993,1.3,1,ID,interp,TSS,daily,conc
4/30/1993,1.3,1,ID,interp,TSS,daily,conc
5/1/1993,1.3,1,ID,interp,TSS,daily,conc
5/2/1993,1.3,1,ID,interp,TSS,daily,conc
5/3/1993,1.3,1,ID,interp,TSS,daily,conc
5/4/1993,1.3,1,ID,interp,TSS,daily,conc
5/5/1993,1.3,1,ID,interp,TSS,daily,conc
5/6/1993,1.3,1,ID,interp,TSS,daily,conc
5/7/1993,1.3,1,ID,interp,TSS,daily,conc
5/8/1993,1.3,1,ID,interp,TSS,daily,conc
5/9/1993,1.3,1,ID,interp,TSS,daily,conc
5/10/1993,1.3,1,ID,interp,TSS,daily,conc
5/11/1993,1.3,1,ID,interp,TSS,daily,conc
5/12/1993,1.3,1,ID,interp,TSS,daily,conc
5/13/1993,1.3,1,ID,interp,TSS,daily,conc
5/14/1993,1.3,1,ID,interp,TSS,daily,conc
5/15/1993,1.3,1,ID,interp,TSS,daily,conc
5/16/1993,1.3,1,ID,interp,TSS,daily,conc
5/17/1993,1.3,1,ID,interp,TSS,daily,conc
5/18/1993,1.3,1,ID,interp,TSS,daily,conc
5/19/1993,1.3,1,ID,interp,TSS,daily,conc
5/20/1993,1.3,1,ID,interp,TSS,daily,conc
5/21/1993,1.3,1,ID,interp,TSS,daily,conc
5/22/1993,1.3,1,ID,interp,TSS,daily,conc
5/23/1993,1.3,1,ID,interp,TSS,daily,conc
5/24/1993,1.3,1,ID,interp,TSS,daily,conc
5/25/1993,1.3,1,ID,interp,TSS,daily,conc
5/26/1993,1.3,1,ID,interp,TSS,daily,conc
5/27/1993,1.3,1,ID,interp,TSS,daily,conc
5/28/1993,1.3,1,ID,interp,TSS,daily,conc
5/29/1993,1.3,1,ID,interp,TSS,daily,conc
5/30/1993,1.3,1,ID,interp,TSS,daily,conc
5/31/1993,1.3,1,ID,interp,TSS,daily,conc
6/1/1993,1.3,1,ID,interp,TSS,daily,conc
6/2/1993,1.3,1,ID,interp,TSS,daily,conc
6/3/1993,1.3,1,ID,interp,TSS,daily,conc
6/4/1993,1.3,1,ID,interp,TSS,daily,conc
6/5/1993,1.3,1,ID,interp,TSS,daily,conc
6/6/1993,1.3,1,ID,interp,TSS,daily,conc
6/7/1993,1.3,1,ID,interp,TSS,daily,conc
6/8/1993,1.3,1,ID,interp,TSS,daily,conc
6/9/1993,1.3,1,ID,interp,TSS,daily,conc
6/10/1993,1.3,1,ID,interp,TSS,daily,conc
6/11/1993,1.3,1,ID,interp,TSS,daily,conc
6/12/1993,1.3,1,ID,interp,TSS,daily,conc
6/13/1993,1.3,1,ID,interp,TSS,daily,conc
6/14/1993,1.3,1,ID,interp,TSS,daily,conc
6/15/1993,1.3,1,ID,interp,TSS,daily,conc
6/16/1993,1.3,1,ID,interp,TSS,daily,conc
6/17/1993,1.3,1,ID,interp,TSS,daily,conc
6/18/1993,1.3,1,ID,interp,TSS,daily,conc
6/19/1993,1.3,1,ID,interp,TSS,daily,conc
6/20/1993,1.3,1,ID,interp,TSS,daily,conc
6/21/1993,1.3,1,ID,interp,TSS,daily,conc
6/22/1993,1.3,1,ID,interp,TSS,daily,conc
6/23/1993,1.3,1,ID,interp,TSS,daily,conc
6/24/1993,1.3,1,ID,interp,TSS,daily,conc
6/25/1993,1.3,1,ID,interp,TSS,daily,conc
6/26/1993,1.3,1,ID,interp,TSS,daily,conc
6/27/1993,1.3,1,ID,interp,TSS,daily,conc
6/28/1993,1.3,1,ID,interp,TSS,daily,conc
6/29/1993,1.3,1,ID,interp,TSS,daily,conc
6/30/1993,1.3,1,ID,interp,TSS,daily,conc
7/1/1993,1.3,1,ID,interp,TSS,daily,conc
7/2/1993,1.3,1,ID,interp,TSS,daily,conc
7/3/1993,1.3,1,ID,interp,TSS,daily,conc
7/4/1993,1.3,1,ID,interp,TSS,daily,conc
7/5/1993,1.3,1,ID,interp,TSS,daily,conc
7/6/1993,1.3,1,ID,interp,TSS,daily,conc
7/7/1993,1.3,1,ID,interp,TSS,daily,conc
7/8/1993,1.3,1,ID,interp,TSS,daily,conc
7/9/1993,1.3,1,ID,interp,TSS,daily,conc
7/10/1993,1.3,1,ID,interp,TSS,daily,conc
7/11/1993,1.3,1,ID,interp,TSS,daily,conc
7/12/1993,1.3,1,ID,interp,TSS,daily,conc
7/13/1993,1.3,1,ID,interp,TSS,daily,conc
7/14/1993,1.3,1,ID,interp,TSS,daily,conc
7/15/1993,1.3,1,ID,interp,TSS,daily,conc
7/16/1993,1.3,1,ID,interp,TSS,daily,conc
7/17/1993,1.3,1,ID,interp,TSS,daily,conc
7/18/1993,1.3,1,ID,interp,TSS,daily,conc
7/19/1993,1.3,1,ID,interp,TSS,daily,conc
7/20/1993,1.3,1,ID,interp,TSS,daily,conc
7/21/1993,1.3,1,ID,interp,TSS,daily,conc
7/22/1993,1.3,1,ID,interp,TSS,daily,conc
7/23/1993,1.3,1,ID,interp,TSS,daily,conc
7/24/1993,1.3,1,ID,interp,TSS,daily,conc
7/25/1993,1.3,1,ID,interp,TSS,daily,conc
7/26/1993,1.3,1,ID,interp,TSS,daily,conc
7/27/1993,1.3,1,ID,interp,TSS,daily,conc
7/28/1993,1.3,1,ID,interp,TSS,daily,conc
7/29/1993,1.3,1,ID,interp,TSS,daily,conc
7/30/1993,1.3,1,ID,interp,TSS,daily,conc
7/31/1993,1.3,1,ID,interp,TSS,daily,conc
8/1/1993,1.3,1,ID,interp,TSS,daily,conc
8/2/1993,1.3,1,ID,interp,TSS,daily,conc
8/3/1993,1.3,1,ID,interp,TSS,daily,conc
8/4/1993,1.3,1,ID,interp,TSS,daily,conc
8/5/1993,1.3,1,ID,interp,TSS,daily,conc
8/6/1993,1.3,1,ID,interp,TSS,daily,conc
8/7/1993,1.3,1,ID,interp,TSS,daily,conc
8/8/1993,1.3,1,ID,interp,TSS,daily,conc
8/9/1993,1.3,1,ID,interp,TSS,daily,conc
8/10/1993,1.3,1,ID,interp,TSS,daily,conc
8/11/1993,1.3,1,ID,interp,TSS,daily,conc
8/12/1993,1.3,1,ID,interp,TSS,daily,conc
8/13/1993,1.3,1,ID,interp,TSS,daily,conc
8/14/1993,1.3,1,ID,interp,TSS,daily,conc
8/15/1993,1.3,1,ID,interp,TSS,daily,conc
8/16/1993,1.3,1,ID,interp,TSS,daily,conc
8/17/1993,1.3,1,ID,interp,TSS,daily,conc
8/18/1993,1.3,1,ID,interp,TSS,daily,conc
8/19/1993,1.3,1,ID,interp,TSS,daily,conc
8/20/1993,1.3,1,ID,interp,TSS,daily,conc
8/21/1993,1.3,1,ID,interp,TSS,daily,conc
8/22/1993,1.3,1,ID,interp,TSS,daily,conc
